Mass [Solar Mass], Radius [Solar Radii], Moment of Inertia [g cm^2]
0.010486501872758318, 0.02889914193008773, 3.4994578281608936e+49
0.013029186446834928, 0.028816511064548717, 4.2247397851589836e+49
0.016027320249304287, 0.02859906501393803, 5.009221842963151e+49
0.019548121078261795, 0.028267018688538918, 5.848762920518043e+49
0.02366805736197163, 0.02783833590114652, 6.739172075723658e+49
0.02847383427910792, 0.027328956902646143, 7.676217671705431e+49
0.03406338575418422, 0.026752993051807852, 8.655560303004963e+49
0.04054682648621895, 0.026122898343966708, 9.672691597592575e+49
0.04804729772851707, 0.025449623482587818, 1.0722819257939542e+50
0.056701614885046644, 0.024742756762564874, 1.1800688340333722e+50
0.06666059351204645, 0.02401065348721527, 1.2900406645188398e+50
0.07808889406428018, 0.023260555911942444, 1.4015223257351695e+50
0.08440909418965362, 0.022880745651692572, 1.4575894603729384e+50
0.09116418620996318, 0.022498704477045505, 1.5137303541570333e+50
0.09837812463737941, 0.0221150728908434, 1.5698260255330726e+50
0.10607539522594908, 0.02173044132176872, 1.6257476329757688e+50
0.11428089094473874, 0.021345352985351226, 1.6813558652727497e+50
0.12301976286695836, 0.02096030662234676, 1.7365002700387088e+50
0.13231724398909694, 0.020575759177224748, 1.7910187262856822e+50
0.14219844426931472, 0.020192128359976986, 1.8447370675488776e+50
0.15268811558493914, 0.01980979513589451, 1.8974688497191073e+50
0.16381038585845206, 0.019429106130955665, 1.9490153078711516e+50
0.1755884623269423, 0.019050375953367688, 1.999165593716464e+50
0.18804430480813836, 0.018673889444598402, 2.047697150416665e+50
0.19453282286748746, 0.018486568976582317, 2.0712833733852745e+50
0.20119827088724945, 0.018299903853122666, 2.094376621923605e+50
0.20804288089874756, 0.01811392226678979, 2.1169461636897236e+50
0.21506873616004937, 0.01792865093747003, 2.1389608608593996e+50
0.22227775825687363, 0.017744115187161853, 2.160389038636853e+50
0.2296716940258542, 0.017560338990230243, 2.181198645387375e+50
0.23725210236328226, 0.017377345036971005, 2.2013572864967975e+50
0.2450203409884213, 0.017195154793138767, 2.220832373747988e+50
0.2529775532280663, 0.017013788552737347, 2.2395911502781405e+50
0.26112465490813436, 0.016833265496319895, 2.257600667347593e+50
0.269462321429113, 0.0166536037460308, 2.2748281293069095e+50
0.2779909751159403, 0.016474820416277312, 2.291240823162947e+50
0.28671077293191816, 0.016296931667868074, 2.306806293495496e+50
0.2956215946541962, 0.01611995275386705, 2.321492361415063e+50
0.30472303160211356, 0.01594389807520309, 2.335267329526671e+50
0.3140143760240686, 0.015768781222274035, 2.34810024285492e+50
0.3234946112376834, 0.01559461502326379, 2.3599606999887428e+50
0.3331624026220897, 0.015421411587766462, 2.3708192018443243e+50
0.34301608956125945, 0.015249182350142545, 2.3806472112342587e+50
0.3530536784332652, 0.015077938109239072, 2.3894174020382045e+50
0.3632728367296424, 0.014907689068245123, 2.3971036943815445e+50
0.37367088839880175, 0.014738444873723939, 2.4036812224201524e+50
0.3842448104864375, 0.014570214648652949, 2.4091268612542582e+50
0.39499123114458995, 0.014403007028280616, 2.413419081888547e+50
0.4059064290706923, 0.014236830191633403, 2.4165381979409715e+50
0.4169863344345654, 0.014071691892246416, 2.4184663388380374e+50
0.42822653132232763, 0.013907599486348312, 2.419187691729798e+50
0.43962226174029734, 0.013744559959170777, 2.418688823948712e+50
0.4511684311877725, 0.01358257994986307, 2.416958320915953e+50
0.46285961580380336, 0.01342166577493233, 2.413987212924641e+50
0.4746900710803886, 0.013261823448282695, 2.4097689844897157e+50
0.48665374211577905, 0.013103058701455029, 2.4042995974324226e+50
0.49874427537878885, 0.012945377000239141, 2.397577831697276e+50
0.5109550319189881, 0.012788783560789493, 2.38960472098499e+50
0.5232791019781672, 0.01263328336397219, 2.38038429514589e+50
0.5357093209133438, 0.01247888116741763, 2.3699232118097895e+50
0.5482382863503494, 0.012325581516337407, 2.3582308575688955e+50
0.5608583764684975, 0.012173388753063069, 2.3453193422569885e+50
0.5735617693071291, 0.01202230702522518, 2.331203437866466e+50
0.5863404629860574, 0.011872340291963636, 2.3159007836253833e+50
0.5927555030077231, 0.011797776235599881, 2.3078105928838447e+50
0.5991862966974683, 0.011723492329961283, 2.2994314547857943e+50
0.6056318026757376, 0.011649489019474673, 2.29076629283764e+50
0.6120909723668907, 0.01157576673724564, 2.2818181845958616e+50
0.6185627507022287, 0.011502325905674153, 2.2725903638580957e+50
0.6250460768280841, 0.011429166936650017, 2.2630862139703332e+50
0.6315398848179226, 0.011356290230578651, 2.2533092680486203e+50
0.6380431043872721, 0.011283696177882005, 2.2432632048605507e+50
0.6445546616102028, 0.011211385157768476, 2.232951844915699e+50
0.651073479636737, 0.011139357539365268, 2.2223791479134993e+50
0.6575984794090337, 0.0110676136805155, 2.2115492786301826e+50
0.6641285803804176, 0.010996153928755895, 2.2004663231978052e+50
0.6706627012284166, 0.010924978620688862, 2.1891355858584643e+50
0.6771997605484028, 0.010854088082464823, 2.1775598652603407e+50
0.6837386775866309, 0.010783482629512418, 2.165744558823788e+50
0.6902783729220919, 0.010713162566153647, 2.153694380643345e+50
0.6968177691639573, 0.010643128186231832, 2.141414149869238e+50
0.7033557916388727, 0.010573379772607904, 2.1289087907310812e+50
0.7098913690688861, 0.01050391759727763, 2.116183330390088e+50
0.7164234342403322, 0.010434741921156848, 2.1032428161324257e+50
0.7229509246666556, 0.010365852994256523, 2.0900926088321375e+50
0.7294727832324225, 0.010297251055425853, 2.0767379340927748e+50
0.7359879588344863, 0.01022893633237587, 2.063184170725674e+50
0.7424954070070203, 0.010160909041648802, 2.0494367828593208e+50
0.7489940905336115, 0.010093169388370198, 2.035501279106244e+50
0.755482980047703, 0.010025717566674317, 2.0213832583946823e+50
0.7619610546180837, 0.009958553758649322, 2.007088375801825e+50
0.7684273023192528, 0.009891678135488703, 1.9926223328696004e+50
0.7748807207863301, 0.00982509085664039, 1.977990961431928e+50
0.7813203177599427, 0.009758792069594997, 1.963199916287309e+50
0.7941541318141605, 0.009627060504345529, 1.9331624133730525e+50
0.8069210279276263, 0.009496484387149624, 1.9025569730831547e+50
0.819613482973089, 0.009367064475760557, 1.871431080172177e+50
0.8322241815542623, 0.009238801336343527, 1.8398323214156671e+50
0.844746029162071, 0.009111695342524978, 1.8078085689943632e+50
0.8571721641504991, 0.008985746673255577, 1.7754073807238786e+50
0.8694959685317492, 0.008860955313085945, 1.742676173206089e+50
0.8817110775931108, 0.00873732105057798, 1.7096617404174797e+50
0.8938113883019971, 0.008614843478743424, 1.6764106015111425e+50
0.9057910665656611, 0.008493521994444416, 1.6429684795449707e+50
0.9176445533142831, 0.008373355799234419, 1.609380263646813e+50
0.9293665694737641, 0.008254343899525236, 1.5756901488947226e+50
0.9409521198115396, 0.008136485108204361, 1.5419410595422258e+50
0.9523964957406744, 0.008019778045376331, 1.5081749485719733e+50
0.9636952771012824, 0.007904221140124082, 1.4744318613446058e+50
0.9748443329227994, 0.0077898126326846565, 1.440752258542717e+50
0.9858398213050287, 0.007676550576298789, 1.4071736265232642e+50
0.996678188380711, 0.00756443283973593, 1.3737327218236724e+50
1.0073561664411943, 0.007453457109861188, 1.3404646133407785e+50
1.0178707712876012, 0.007343620895076503, 1.3074026368014308e+50
